Sample in Buffer,Sample in Window,TRIGGER,O_Mipi_CSI_Byte_Lane0_Data[7:0],O_Mipi_CSI_Byte_Lane1_Data[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
1420,1420,0,81,50
1421,1421,0,07,41
1422,1422,0,ee,41
1423,1423,0,84,01
1424,1424,0,13,05
1425,1425,0,4e,14
1426,1426,0,38,50
1427,1427,0,e1,40
1428,1428,0,84,01
1429,1429,0,13,05
1430,1430,0,4e,14
1431,1431,0,38,50
1432,1432,0,e1,40
1433,1433,0,04,81
1434,1434,0,04,3b
1435,1435,0,10,ee
1436,1436,0,40,b8
1437,1437,0,00,e3
1438,1438,0,01,8e
1439,1439,0,04,3b
1440,1440,0,10,ee
1441,1441,0,40,b8
1442,1442,0,00,e3
1443,1443,0,01,8e
1444,1444,0,04,3b
1445,1445,0,10,ee
1446,1446,0,04,00
1447,1447,0,14,00
1448,1448,0,50,00
1449,1449,0,40,00
1450,1450,0,01,00
1451,1451,0,05,00
1452,1452,0,14,00
1453,1453,0,50,00
1454,1454,0,40,00
1455,1455,0,01,00
1456,1456,0,05,00
1457,1457,0,14,04
1458,1458,0,40,10
1459,1459,0,00,40
1460,1460,0,01,00
1461,1461,0,04,01
1462,1462,0,10,04
1463,1463,0,40,10
1464,1464,0,00,40
1465,1465,0,01,00
1466,1466,0,04,01
1467,1467,0,10,04
1468,1468,0,80,00
1469,1469,0,03,05
1470,1470,0,0e,14
1471,1471,0,38,50
1472,1472,0,e0,40
1473,1473,0,80,01
1474,1474,0,03,05
1475,1475,0,0e,14
1476,1476,0,38,50
1477,1477,0,e0,40
1478,1478,0,80,01
1479,1479,0,03,05
1480,1480,0,0e,14
1481,1481,0,40,80
1482,1482,0,00,03
1483,1483,0,01,0e
1484,1484,0,04,38
1485,1485,0,10,e0
1486,1486,0,40,80
1487,1487,0,00,03
1488,1488,0,01,0e
1489,1489,0,04,38
1490,1490,0,10,e0
1491,1491,0,40,80
1492,1492,0,50,13
1493,1493,0,50,40
1494,1494,0,41,00
1495,1495,0,05,01
1496,1496,0,15,04
1497,1497,0,54,10
1498,1498,0,50,40
1499,1499,0,41,00
1500,1500,0,05,01
1501,1501,0,15,04
1502,1502,0,54,10
1503,1503,0,50,10
1504,1504,0,e0,54
1505,1505,0,81,50
1506,1506,0,07,41
1507,1507,0,1e,05
1508,1508,0,78,15
1509,1509,0,e0,54
1510,1510,0,81,50
1511,1511,0,07,41
1512,1512,0,1e,05
1513,1513,0,78,15
1514,1514,0,e0,54
1515,1515,0,81,50
1516,1516,0,3b,50
1517,1517,0,e1,40
1518,1518,0,84,01
1519,1519,0,13,05
1520,1520,0,4e,14
1521,1521,0,38,50
1522,1522,0,e1,40
1523,1523,0,84,01
1524,1524,0,13,05
1525,1525,0,4e,14
1526,1526,0,38,50
1527,1527,0,01,e0
1528,1528,0,01,8e
1529,1529,0,04,3b
1530,1530,0,10,ee
1531,1531,0,40,b8
1532,1532,0,00,e3
1533,1533,0,01,8e
1534,1534,0,04,3b
1535,1535,0,10,ee
1536,1536,0,40,b8
1537,1537,0,00,e3
1538,1538,0,41,4e
1539,1539,0,41,20
1540,1540,0,05,81
1541,1541,0,15,04
1542,1542,0,54,12
1543,1543,0,50,48
1544,1544,0,41,20
1545,1545,0,05,81
1546,1546,0,15,04
1547,1547,0,54,12
1548,1548,0,50,48
1549,1549,0,41,20
1550,1550,0,05,81
1551,1551,0,05,00
1552,1552,0,1e,00
1553,1553,0,78,00
1554,1554,0,e0,00
1555,1555,0,81,00
1556,1556,0,07,00
1557,1557,0,1e,00
1558,1558,0,78,00
1559,1559,0,e0,00
1560,1560,0,81,00
1561,1561,0,07,00
1562,1562,0,ae,40
1563,1563,0,80,01
1564,1564,0,02,05
1565,1565,0,0a,14
1566,1566,0,28,50
1567,1567,0,a0,40
1568,1568,0,80,01
1569,1569,0,02,05
1570,1570,0,0a,14
1571,1571,0,28,50
1572,1572,0,a0,40
1573,1573,0,00,01
1574,1574,0,04,38
1575,1575,0,10,e0
1576,1576,0,40,80
1577,1577,0,00,03
1578,1578,0,01,0e
1579,1579,0,04,38
1580,1580,0,10,e0
1581,1581,0,40,80
1582,1582,0,00,03
1583,1583,0,01,0e
1584,1584,0,04,38
1585,1585,0,10,e0
1586,1586,0,14,04
1587,1587,0,54,10
1588,1588,0,50,40
1589,1589,0,41,00
1590,1590,0,05,01
