Sample in Buffer,Sample in Window,TRIGGER,lane0_byte_data[7:0],lane1_byte_data[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
753,753,0,fc,61
754,754,0,11,81
755,755,0,52,e4
756,756,0,51,11
757,757,0,91,12
758,758,0,05,82
759,759,0,32,c1
760,760,0,c2,49
761,761,0,81,32
762,762,0,d1,a2
763,763,0,60,81
764,764,0,02,01
765,765,0,a2,4d
766,766,0,c1,22
767,767,0,d1,b2
768,768,0,fd,91
769,769,0,01,81
770,770,0,92,36
771,771,0,e1,32
772,772,0,41,82
773,773,0,6e,71
774,774,0,f2,11
775,775,0,81,51
776,776,0,91,42
777,777,0,11,b2
778,778,0,08,b1
779,779,0,12,21
780,780,0,d2,5e
781,781,0,b1,32
782,782,0,31,c2
783,783,0,3a,a1
784,784,0,32,11
785,785,0,b2,5b
786,786,0,91,22
787,787,0,01,d2
788,788,0,18,e1
789,789,0,12,c1
790,790,0,a2,26
791,791,0,e1,32
792,792,0,d1,b2
793,793,0,02,c1
794,794,0,22,21
795,795,0,32,49
796,796,0,82,12
797,797,0,11,d2
798,798,0,17,d1
799,799,0,32,41
800,800,0,a2,28
801,801,0,f1,32
802,802,0,91,92
803,803,0,23,91
804,804,0,12,e1
805,805,0,c2,0e
806,806,0,a1,22
807,807,0,51,12
808,808,0,1c,82
809,809,0,02,b1
810,810,0,42,11
811,811,0,91,22
812,812,0,b1,72
813,813,0,e2,a1
814,814,0,11,e1
815,815,0,82,68
816,816,0,51,12
817,817,0,71,b2
818,818,0,fe,b1
819,819,0,01,c1
820,820,0,a2,ee
821,821,0,91,f1
822,822,0,51,a1
823,823,0,e8,31
824,824,0,f1,d1
825,825,0,81,1b
826,826,0,91,42
827,827,0,71,b2
828,828,0,d4,a1
829,829,0,11,a1
830,830,0,82,13
831,831,0,b1,e2
832,832,0,41,81
833,833,0,18,71
834,834,0,12,81
835,835,0,92,f6
836,836,0,51,d1
837,837,0,a1,b1
838,838,0,09,81
839,839,0,12,21
840,840,0,42,0f
841,841,0,91,f2
842,842,0,f1,41
843,843,0,e0,61
844,844,0,11,41
845,845,0,a2,fa
846,846,0,d1,e1
847,847,0,f1,51
848,848,0,3b,b1
849,849,0,12,e1
850,850,0,62,e8
851,851,0,71,01
852,852,0,01,a2
853,853,0,be,d1
854,854,0,11,d1
855,855,0,82,a8
856,856,0,71,f1
857,857,0,c1,81
858,858,0,d9,11
859,859,0,c1,11
860,860,0,21,c5
861,861,0,41,b1
862,862,0,f1,61
863,863,0,ec,01
864,864,0,c1,b1
865,865,0,51,de
866,866,0,91,f1
867,867,0,e1,41
868,868,0,a8,41
869,869,0,e1,01
870,870,0,41,b0
871,871,0,41,b1
872,872,0,a1,81
873,873,0,da,31
874,874,0,e1,51
875,875,0,b1,0f
876,876,0,51,12
877,877,0,61,62
878,878,0,f5,71
879,879,0,c1,f1
880,880,0,91,ce
881,881,0,41,d1
882,882,0,a1,a1
883,883,0,ec,a1
884,884,0,c1,31
885,885,0,91,fd
886,886,0,61,01
887,887,0,21,52
888,888,0,d4,61
889,889,0,d1,d1
890,890,0,41,d0
891,891,0,01,f1
892,892,0,e1,91
893,893,0,dc,21
894,894,0,f1,c1
895,895,0,81,ba
896,896,0,41,01
897,897,0,91,42
898,898,0,16,41
899,899,0,e2,81
900,900,0,b1,7f
901,901,0,91,42
902,902,0,f1,a2
903,903,0,48,51
904,904,0,22,81
905,905,0,a2,4a
906,906,0,91,12
907,907,0,d1,a2
908,908,0,04,51
909,909,0,f2,11
910,910,0,c1,6d
911,911,0,91,22
912,912,0,51,b2
913,913,0,3c,a1
914,914,0,62,21
915,915,0,b2,1b
916,916,0,a1,12
917,917,0,71,d2
918,918,0,60,a1
919,919,0,42,81
920,920,0,f2,64
921,921,0,01,42
922,922,0,32,e2
923,923,0,3d,d1
924,924,0,42,51
925,925,0,02,5e
926,926,0,c2,82
927,927,0,d1,12
928,928,0,23,e2
929,929,0,32,91
930,930,0,02,61
931,931,0,d2,62
932,932,0,a1,42
933,933,0,5b,12
934,934,0,72,42
935,935,0,a2,59
936,936,0,e1,62
937,937,0,31,02
938,938,0,89,12
939,939,0,82,22
940,940,0,02,75
941,941,0,e2,52
942,942,0,a1,12
943,943,0,91,c2
944,944,0,82,71
945,945,0,e2,71
946,946,0,41,22
947,947,0,12,e2
948,948,0,6e,a1
949,949,0,52,a1
950,950,0,32,85
951,951,0,c2,22
952,952,0,01,92
953,953,0,2f,91
954,954,0,22,01
955,955,0,02,38
956,956,0,42,22
957,957,0,91,b2
958,958,0,0f,71
959,959,0,12,f1
960,960,0,a2,1a
961,961,0,c1,d2
962,962,0,51,a1
963,963,0,19,c1
964,964,0,02,51
965,965,0,c2,17
966,966,0,51,12
967,967,0,31,82
968,968,0,09,b1
969,969,0,12,51
970,970,0,72,5a
971,971,0,81,32
972,972,0,e1,42
973,973,0,1b,91
974,974,0,32,b1
975,975,0,a2,12
976,976,0,a1,02
977,977,0,81,b2
978,978,0,47,91
979,979,0,42,31
980,980,0,b2,fa
981,981,0,31,71
982,982,0,a2,32
983,983,0,3c,d2
984,984,0,62,c1
985,985,0,12,c3
986,986,0,f2,b2
987,987,0,d1,32
988,988,0,87,42
989,989,0,52,42
990,990,0,12,9e
991,991,0,42,b2
992,992,0,72,02
993,993,0,c4,62
994,994,0,c2,52
995,995,0,32,d8
996,996,0,22,a2
997,997,0,12,22
998,998,0,be,42
999,999,0,e2,c2
1000,1000,0,42,dc
1001,1001,0,52,f2
1002,1002,0,02,52
1003,1003,0,b5,52
1004,1004,0,02,d2
1005,1005,0,13,0b
1006,1006,0,a2,33
1007,1007,0,82,e3
1008,1008,0,17,f2
1009,1009,0,73,b2
1010,1010,0,63,fc
1011,1011,0,02,22
1012,1012,0,73,43
1013,1013,0,a1,93
1014,1014,0,33,23
1015,1015,0,43,a2
1016,1016,0,13,b3
1017,1017,0,a3,13
1018,1018,0,1b,53
1019,1019,0,a3,b3
1020,1020,0,83,4f
1021,1021,0,73,e4
1022,1022,0,33,93
1023,1023,0,9b,a3
1024,1024,1,c3,13
1025,1025,0,c3,d8
1026,1026,0,63,b3
1027,1027,0,d3,13
1028,1028,0,20,84
1029,1029,0,f4,23
1030,1030,0,c3,eb
1031,1031,0,c3,c3
1032,1032,0,c3,f3
1033,1033,0,19,33
1034,1034,0,74,84
1035,1035,0,84,7d
1036,1036,0,13,54
1037,1037,0,f4,84
1038,1038,0,4c,13
1039,1039,0,34,c4
1040,1040,0,34,88
1041,1041,0,34,94
1042,1042,0,84,d4
1043,1043,0,5b,83
1044,1044,0,a4,64
1045,1045,0,54,d7
1046,1046,0,04,d4
1047,1047,0,d5,a4
1048,1048,0,6f,74
1049,1049,0,e4,c4
1050,1050,0,b4,00
1051,1051,0,94,d5
1052,1052,0,14,84
1053,1053,0,86,64
1054,1054,0,e4,04
1055,1055,0,a4,18
1056,1056,0,54,e5
1057,1057,0,e4,d4
1058,1058,0,a7,c4
1059,1059,0,a4,d4
1060,1060,0,74,cb
1061,1061,0,54,84
1062,1062,0,54,c4
1063,1063,0,a4,c4
1064,1064,0,84,f4
1065,1065,0,24,a8
1066,1066,0,34,74
1067,1067,0,64,64
1068,1068,0,78,34
1069,1069,0,94,04
1070,1070,0,54,8b
1071,1071,0,34,44
1072,1072,0,14,84
1073,1073,0,39,44
1074,1074,0,a4,74
1075,1075,0,04,7d
1076,1076,0,f4,34
1077,1077,0,13,d4
1078,1078,0,8e,13
1079,1079,0,34,24
1080,1080,0,14,74
1081,1081,0,34,54
1082,1082,0,24,c4
1083,1083,0,31,d3
1084,1084,0,34,73
1085,1085,0,c4,44
1086,1086,0,13,24
1087,1087,0,04,34
1088,1088,0,62,04
1089,1089,0,54,74
1090,1090,0,d4,e2
1091,1091,0,e3,63
1092,1092,0,a3,14
1093,1093,0,a0,14
1094,1094,0,64,a4
1095,1095,0,b4,60
1096,1096,0,e3,94
1097,1097,0,e3,34
1098,1098,0,7d,44
1099,1099,0,74,74
1100,1100,0,c4,e1
1101,1101,0,33,73
1102,1102,0,74,44
1103,1103,0,81,e4
1104,1104,0,c4,13
1105,1105,0,64,af
1106,1106,0,a4,84
1107,1107,0,64,b4
1108,1108,0,b4,03
1109,1109,0,84,55
1110,1110,0,c4,95
1111,1111,0,84,44
1112,1112,0,d4,b5
1113,1113,0,3b,04
1114,1114,0,25,25
1115,1115,0,d5,38
1116,1116,0,b4,45
1117,1117,0,94,85
1118,1118,0,72,95
1119,1119,0,65,c5
1120,1120,0,15,89
1121,1121,0,55,a5
1122,1122,0,45,35
1123,1123,0,79,05
1124,1124,0,75,75
1125,1125,0,15,a5
1126,1126,0,05,a5
1127,1127,0,c5,75
1128,1128,0,17,35
1129,1129,0,a5,05
1130,1130,0,05,88
1131,1131,0,15,65
1132,1132,0,d5,15
1133,1133,0,73,05
1134,1134,0,65,f5
1135,1135,0,15,4f
1136,1136,0,55,65
1137,1137,0,e5,15
1138,1138,0,51,15
1139,1139,0,d5,e5
1140,1140,0,04,3c
1141,1141,0,55,e5
1142,1142,0,95,74
1143,1143,0,c4,64
1144,1144,0,c4,f4
1145,1145,0,e4,a0
1146,1146,0,74,a4
1147,1147,0,f4,34
1148,1148,0,d9,64
1149,1149,0,74,b4
1150,1150,0,e4,d4
1151,1151,0,e4,b4
1152,1152,0,03,54
1153,1153,0,a9,e4
1154,1154,0,74,53
1155,1155,0,54,5f
1156,1156,0,04,94
